Libro,Autor,Editorial,Paginas,FechaPrimeraPublicacion,Genero,Subgenero,Estado,Tipo
Al final mueren los dos ,Adam Silvera,Puck,352,2017-01-01,Ciencia Ficción,Romance,Leído,Autoconclusivo
El hijo infinito ,Adam Silvera,Puck,316,2020-01-01,Fantasia,Aventura,No leído,Serie
Recuerda aquella vez,Adam Silvera,Puck,285,2015-01-01,Ciencia Ficción,Romance,No leído,Autoconclusivo
Solo quedó nuestra historia,Adam Silvera,Puck,316,2017-01-01,Contemporaneo,Tragedia,No leído,Autoconclusivo
Matar un reino,Alexandra Christo,Océano Gran Travesía,416,2018-01-01,Fantasia,Romance,No leído,Autoconclusivo
"Heartstopper, Tomo 1 ",Alice Oseman,V&R Editoras,288,2018-01-01,Novela Gráfica,Romance,Leído,Serie
"Heartstopper, Tomo 2 ",Alice Oseman,V&R Editoras,328,2019-01-01,Novela Gráfica,Romance,Leído,Serie
"Heartstopper, Tomo 3 ",Alice Oseman,V&R Editoras,384,2020-01-01,Novela Gráfica,Romance,Leído,Serie
"Heartstopper, Tomo 4 ",Alice Oseman,V&R Editoras,368,2021-01-01,Novela Gráfica,Romance,Leído,Serie
En el bosque,Alyssa Wees,EMPRESA EDITORA ZIG ZAG S.A.,310,2019-01-01,Fantasia,Romance,No leído,Autoconclusivo
Illuminae ,Amie Kaufman,Alfaguara,585,2015-01-01,Ciencia Ficción,Distopia,No leído,Serie
Wink Poppy Midnight,April Genevieve Tucholke,V&R Editoras,248,2016-01-01,Realismo Mágico,Misterio,Leído,Autoconclusivo
Crescendo ,Becca Fitzpatrick,Ediciones B,408,2010-01-01,Fantasia,Romance,Leído,Serie
Finale ,Becca Fitzpatrick,B de Blok,480,2012-01-01,Fantasia,Romance,No leído,Serie
"Hush, Hush ",Becca Fitzpatrick,B de Blok,368,2009-01-01,Fantasia,Romance,Leído,Serie
Mentiras Peligrosas,Becca Fitzpatrick,B de Blok,400,2015-01-01,Misterio,Thriller,No leído,Autoconclusivo
Silencio ,Becca Fitzpatrick,Ediciones B,416,2011-01-01,Fantasia,Romance,Leído,Serie
"Yo, Simon, Homo Sapiens",Becky Albertalli,Puck,282,2015-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Redención ,Brandon Sanderson,Nova,208,2013-01-01,Fantasia,Aventura,No leído,Serie
El despertar ,Brandon Sanderson,Ediciones B,184,2011-01-01,Fantasia,Aventura,Leído,Serie
Pointe,Brandy Colbert,V&R Editoras,384,2014-01-01,Contemporaneo,Misterio,No leído,Autoconclusivo
Una última parada,Casey McQuiston,Molino,496,2021-01-01,Ficción,Romance,No leído,Autoconclusivo
"Rojo, blanco y sangre azul",Casey McQuiston,Molino,496,2019-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Esos ojos,Cathy Hopkins,V&R Editoras,256,2012-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
El príncipe del sol ,Claudia Ramírez Lomelí,Planeta,344,2018-01-01,Fantasia,Aventura,Leído,Serie
"Nunca, nunca ",Colleen Hoover,Planeta,218,2015-01-01,Misterio,Romance,Leído,Serie
"Nunca, nunca 2 ",Colleen Hoover,Planeta,149,2015-01-01,Misterio,Romance,Leído,Serie
"Nunca, nunca 3 ",Colleen Hoover,Planeta,136,2016-01-01,Misterio,Romance,Leído,Serie
Nombre en clave: Verity,Elizabeth Wein,Alfaguara,408,2012-01-01,Fantasia,Misterio,No leído,Serie
Los veraneantes,Emma Straub,B de Blok,296,2014-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
El amor cae del cielo,Esther Sanz,V&R Editoras,304,2020-01-01,Realismo Mágico,Romance,No leído,Autoconclusivo
El bosque de los corazones dormidos ,Esther Sanz,Montena,333,2011-01-01,Fantasia,Romance,No leído,Autoconclusivo
Si el amor es un canto de sirena ,Esther Sanz,V&R Editoras,320,2017-01-01,Realismo Mágico,Romance,Leído,Serie
Si el amor es una isla ,Esther Sanz,V&R Editoras,296,2014-01-01,Realismo Mágico,Romance,Leído,Serie
Noche de luna larga,Gloria V. Casañas,Buenos Aires: Plaza & Janés,272,2016-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
Mi teoría de todo,J.J.  Johnson,Ediciones SM,333,2012-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Latidos,Javier Ruescas,Ediciones SM,224,2016-01-01,Contemporaneo,Romance,Leído,Serie
Pulsaciones,Javier Ruescas,Ediciones SM,200,2013-01-01,Contemporaneo,Romance,No leído,Serie
De Sangue e Cinzas ,Jennifer L. Armentrout,Galera,588,2020-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
Encuentros de película,Jennifer L. Armentrout,Ediciones SM,352,2018-01-01,Contemporaneo,Romance,No leído,Antología
La estrella más oscura ,Jennifer L. Armentrout,Puck,427,2018-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
Oblivion ,Jennifer L. Armentrout,Plataforma Neo,370,2015-01-01,Fantasia,Paranormal,Leído,Serie
Obsidian ,Jennifer L. Armentrout,Plataforma Neo,448,2011-01-01,Fantasia,Paranormal,Leído,Serie
Onyx ,Jennifer L. Armentrout,Plataforma Neo,420,2012-01-01,Fantasia,Paranormal,Leído,Serie
Opal ,Jennifer L. Armentrout,Plataforma Neo,424,2012-01-01,Fantasia,Paranormal,Leído,Serie
Opposition ,Jennifer L. Armentrout,Plataforma Neo,376,2014-01-01,Fantasia,Paranormal,Leído,Serie
Origin ,Jennifer L. Armentrout,Plataforma Neo,408,2013-01-01,Fantasia,Paranormal,Leído,Serie
Shadows ,Jennifer L. Armentrout,Plataforma Neo,250,2012-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
Un reino de carne y fuego ,Jennifer L. Armentrout,Puck,800,2020-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
El destino de Violet y Luke ,Jessica Sorensen,Oz Editorial,297,2014-01-01,Contemporaneo,Romance,No leído,Serie
El secreto de Callie y Kayden ,Jessica Sorensen,Oz Editorial,288,2013-01-01,Contemporaneo,Romance,No leído,Serie
La coincidencia de Callie y Kayden ,Jessica Sorensen,Oz Editorial,336,2012-01-01,Contemporaneo,Romance,No leído,Serie
La justicia de los errantes ,Jorge Díaz,Buenos Aires: Plaza & Janés,419,2012-01-01,Misterio,Thriller,No leído,Autoconclusivo
Ante la bandera,Julio Verne,RBA Coleccionables,211,1896-01-01,Clásico,Aventura,No leído,Autoconclusivo
Aventuras de tres rusos y tres ingleses en el África Austral,Julio Verne,RBA Coleccionables,32,1980-01-01,Clásico,Aventura,No leído,Autoconclusivo
Aventuras de un niño irlandés.,Julio Verne,RBA Coleccionables,381,1893-01-01,Clásico,Aventura,No leído,Autoconclusivo
Bolsas de viaje ,Julio Verne,RBA Coleccionables,261,1903-01-01,Clásico,Aventura,No leído,Autoconclusivo
César Cascabel - Vol. I,Julio Verne,RBA Coleccionables,201,1890-01-01,Clásico,Aventura,No leído,Serie
Cinco semanas en globo,Julio Verne,RBA Coleccionables,192,1863-01-01,Clásico,Aventura,No leído,Autoconclusivo
Claudio Bombarnac,Julio Verne,RBA Coleccionables,238,1892-01-01,Clásico,Aventura,No leído,Autoconclusivo
De la Tierra a la Luna,Julio Verne,RBA Coleccionables,166,1865-01-01,Clásico,Aventura,No leído,Autoconclusivo
Dos años de vacaciones,Julio Verne,RBA Coleccionables,172,1888-01-01,Clásico,Aventura,No leído,Autoconclusivo
El archipiélago en llamas,Julio Verne,RBA Coleccionables,233,1884-01-01,Clásico,Aventura,No leído,Autoconclusivo
El camino de Francia,Julio Verne,RBA Coleccionables,253,1885-01-01,Clásico,Aventura,No leído,Autoconclusivo
El Castillo de Los Carpatos,Julio Verne,RBA Coleccionables,124,1892-01-01,Clásico,Aventura,No leído,Autoconclusivo
El pais de las pieles ,Julio Verne,RBA Coleccionables,336,1873-01-01,Clásico,Aventura,No leído,Autoconclusivo
El pueblo aéreo,Julio Verne,RBA Coleccionables,207,1901-01-01,Clásico,Aventura,No leído,Autoconclusivo
El rayo verde,Julio Verne,RBA Coleccionables,86,1882-01-01,Clásico,Aventura,No leído,Autoconclusivo
El soberbio Orinoco,Julio Verne,RBA Coleccionables,334,1894-01-01,Clásico,Aventura,No leído,Autoconclusivo
El Testamento de un excentrico,Julio Verne,RBA Coleccionables,274,1899-01-01,Clásico,Aventura,No leído,Autoconclusivo
Escuela de Robinsones,Julio Verne,RBA Coleccionables,184,1882-01-01,Clásico,Aventura,No leído,Autoconclusivo
Hector Servadac,Julio Verne,RBA Coleccionables,404,1877-01-01,Clásico,Aventura,No leído,Autoconclusivo
La casa de vapor,Julio Verne,RBA Coleccionables,400,1880-01-01,Clásico,Aventura,No leído,Autoconclusivo
La esfinge de los hielos,Julio Verne,RBA Coleccionables,432,1897-01-01,Clásico,Aventura,No leído,Autoconclusivo
La estrella del Sur,Julio Verne,RBA Coleccionables,254,1884-01-01,Clásico,Aventura,No leído,Autoconclusivo
La familia sin nombre,Julio Verne,RBA Coleccionables,450,1889-01-01,Clásico,Aventura,No leído,Autoconclusivo
La isla de hélice,Julio Verne,RBA Coleccionables,366,1895-01-01,Clásico,Aventura,No leído,Autoconclusivo
La isla misteriosa I ,Julio Verne,RBA Coleccionables,232,1865-01-01,Clásico,Aventura,No leído,Serie
La isla misteriosa III,Julio Verne,RBA Coleccionables,210,1865-01-01,Clásico,Aventura,No leído,Serie
La Jangada,Julio Verne,RBA Coleccionables,492,1881-01-01,Clásico,Aventura,No leído,Autoconclusivo
Las aventuras del capitán Hatteras I ,Julio Verne,RBA Coleccionables,242,1865-01-01,Clásico,Aventura,No leído,Autoconclusivo
Las indias negras,Julio Verne,RBA Coleccionables,167,1877-01-01,Clásico,Aventura,No leído,Autoconclusivo
Las tribulaciones de un chino en China,Julio Verne,RBA Coleccionables,398,1879-01-01,Clásico,Aventura,No leído,Autoconclusivo
Los hijos del Capitán Grant ,Julio Verne,RBA Coleccionables,398,1867-01-01,Clásico,Aventura,No leído,Autoconclusivo
Los hijos del capitán Grant En Australia ,Julio Verne,RBA Coleccionables,304,1867-01-01,Clásico,Aventura,No leído,Autoconclusivo
Los naufragos del Jonathan,Julio Verne,RBA Coleccionables,509,1910-01-01,Clásico,Aventura,No leído,Autoconclusivo
Los quinientos millones de la Begún,Julio Verne,RBA Coleccionables,214,1879-01-01,Clásico,Aventura,No leído,Autoconclusivo
Maravillosas aventuras de Antifer,Julio Verne,RBA Coleccionables,431,1894-01-01,Clásico,Aventura,No leído,Autoconclusivo
Miguel Strogoff,Julio Verne,RBA Coleccionables,380,1876-01-01,Clásico,Aventura,No leído,Autoconclusivo
Mistress Branican,Julio Verne,RBA Coleccionables,530,1891-01-01,Clásico,Aventura,No leído,Autoconclusivo
Norte contra Sur,Julio Verne,RBA Coleccionables,398,1887-01-01,Clásico,Aventura,No leído,Autoconclusivo
Robur el conquistador,Julio Verne,RBA Coleccionables,209,1886-01-01,Clásico,Aventura,No leído,Autoconclusivo
Segunda patria,Julio Verne,RBA Coleccionables,350,1900-01-01,Clásico,Aventura,No leído,Autoconclusivo
Un billete de lotería,Julio Verne,RBA Coleccionables,232,1885-01-01,Clásico,Aventura,No leído,Autoconclusivo
Un capitán de quince años I ,Julio Verne,RBA Coleccionables,208,1878-01-01,Clásico,Aventura,No leído,Serie
Un drama en Livonia,Julio Verne,RBA Coleccionables,159,1851-01-01,Clásico,Aventura,No leído,Autoconclusivo
Una ciudad flotante,Julio Verne,RBA Coleccionables,337,1871-01-01,Clásico,Aventura,No leído,Autoconclusivo
Veinte mil leguas de viaje submarino ,Julio Verne,RBA Coleccionables,430,1869-01-01,Clásico,Aventura,No leído,Autoconclusivo
Viaje al centro de la Tierra,Julio Verne,RBA Coleccionables,326,1864-01-01,Clásico,Aventura,No leído,Autoconclusivo
Viaje alrededor de la luna,Julio Verne,RBA Coleccionables,220,1869-01-01,Clásico,Aventura,No leído,Autoconclusivo
"A Sir Phillip, con amor ",Julia Quinn,Titania,288,2003-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
El corazón de una Bridgerton ,Julia Quinn,Titania,320,2004-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
Seduciendo a Mr. Bridgerton ,Julia Quinn,Titania,347,2002-01-01,Ficción Histórica,Romance,Leído,Serie
P.D. Me gustas,Kasie West,Plataforma Neo,343,2016-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Cómo ser toda una dama ,Katharine Ashe,Ediciones B,398,2012-01-01,Ficción Histórica,Romance,No leído,Autoconclusivo
A la caza de Jack el Destripador,Kerri Maniscalco,Puck,352,2016-01-01,Ficción Histórica,Misterio,No leído,Serie
El oscuro descenso de Elizabeth Frankenstein,Kiersten White,V&R Editoras,344,2018-01-01,Ficción Histórica,Misterio,No leído,Autoconclusivo
Paranormal ,Kiersten White,Ediciones B,329,2010-01-01,Fantasia,Paranormal,No leído,Serie
Sobrenatural ,Kiersten White,B de Blok,336,2011-01-01,Fantasia,Paranormal,No leído,Serie
Dara & Nick,Lauren Oliver,B de Blok,352,2015-01-01,Misterio,Thriller,No leído,Autoconclusivo
Pánico,Lauren Oliver,B de Blok,380,2014-01-01,Misterio,Thriller,No leído,Autoconclusivo
El amor y otros choques de tren,Leah Konen,V&R Editoras,336,2018-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
La guía de la dama para las enaguas y la piratería ,Mackenzi Lee,V&R Editoras,456,2018-01-01,Realismo Mágico,Aventura,Leído,Serie
La guía del caballero para el vicio y la virtud ,Mackenzi Lee,V&R Editoras,450,2017-01-01,Realismo Mágico,Aventura,Leído,Serie
El tercer durmiente ,Maggie Stiefvater,Ediciones SM,416,2014-01-01,Fantasia,Aventura,No leído,Serie
La profecía del cuervo ,Maggie Stiefvater,Ediciones SM,424,2012-01-01,Fantasia,Aventura,No leído,Serie
Los saqueadores de sueños,Maggie Stiefvater,Ediciones SM,496,2013-01-01,Fantasia,Aventura,No leído,Serie
La Vuelta Al Mundo En 80 Dias ,Julio Verne,Baronet Books,240,1977-01-01,Clásico,Aventura,No leído,Autoconclusivo
Archienemigos ,Marissa Meyer,V&R Editoras,496,2018-01-01,Ciencia Ficción,Distopia,No leído,Serie
Cinder,Marissa Meyer,V&R Editoras,416,2012-01-01,Ciencia Ficción,Retellings,Leído,Serie
Cress ,Marissa Meyer,V&R Editoras,584,2014-01-01,Ciencia Ficción,Retellings,Leído,Serie
Fairest ,Marissa Meyer,V&R Editoras,184,2015-01-01,Ciencia Ficción,Retellings,Leído,Serie
Heartless,Marissa Meyer,V&R Editoras,582,2016-01-01,Fantasia,Retellings,No leído,Autoconclusivo
Karma al instante,Marissa Meyer,V&R Editoras,519,2020-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Renegados ,Marissa Meyer,V&R Editoras,584,2017-01-01,Ciencia Ficción,Distopia,No leído,Serie
Scarlet ,Marissa Meyer,V&R Editoras,432,2013-01-01,Ciencia Ficción,Retellings,Leído,Serie
Stars Above ,Marissa Meyer,V&R Editoras,344,2016-01-01,Ciencia Ficción,Retellings,Leído,Serie
Supernova ,Marissa Meyer,Feiwel & Friends,622,2019-01-01,Ciencia Ficción,Distopia,No leído,Serie
Winter ,Marissa Meyer,V&R Editoras,856,2015-01-01,Ciencia Ficción,Retellings,Leído,Serie
"Wires and Nerve, Volume 1 ",Marissa Meyer,V&R Editoras,240,2017-01-01,Novela Gráfica,Retellings,Leído,Serie
Wires and Nerve: Volumen 2 Los Rebeldes,Marissa Meyer,V&R Editoras,336,2018-01-01,Novela Gráfica,Retellings,Leído,Serie
El final de nuestra historia,Meg Haston,V&R Editoras,312,2017-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Belzhar,Meg Wolitzer,V&R Editoras,320,2014-01-01,Realismo Mágico,Fantasia,No leído,Autoconclusivo
Still Star-Crossed,Melinda Taub,V&R Editoras,376,2013-01-01,Ficción Histórica,Fantasia,No leído,Autoconclusivo
La oscura verdad de Mara Dyer ,Michelle Hodkin,Maeva Young,416,2011-01-01,Paranormal,Fantasia,No leído,Serie
Solo nosotros dos,Nicholas Sparks,Roca Editorial,384,2016-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
El sol también es una estrella,Nicola Yoon,Ediciones SM,352,2016-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
"Todo, Todo",Nicola Yoon,Ediciones SM,320,2015-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
La lista de no besar de Naomi y Ely,Rachel Cohn,V&R Editoras,328,2007-01-01,Ficción,Romance,No leído,Autoconclusivo
La rebelión de la reina ,Rebecca   Ross,Urano,404,2018-01-01,Fantasia,Aventura,No leído,Serie
Estrella Errante ,Romina Russell,Del Nuevo Extremo,352,2015-01-01,Fantasia,Aventura,No leído,Serie
Luna Negra ,Romina Russell,Del Nuevo Extremo,352,2016-01-01,Fantasia,Aventura,No leído,Serie
Zodíaco ,Romina Russell,Del Nuevo Extremo,416,2014-01-01,Fantasia,Aventura,Leído,Serie
Imprevisible ,S.C. Stephens,Sombras,576,2011-01-01,Contemporaneo,Romance,Leído,Serie
Inconsciente ,S.C. Stephens,Sombras,608,2010-01-01,Contemporaneo,Romance,Leído,Serie
Calle Dublín ,Samantha Young,Ediciones B,368,2012-01-01,Contemporaneo,Romance,Leído,Serie
Calle Jamaica,Samantha Young,Ediciones B,352,2014-01-01,Contemporaneo,Romance,No leído,Serie
Calle Londres,Samantha Young,Ediciones B,401,2013-01-01,Contemporaneo,Romance,No leído,Serie
Calles de Edimburgo / Castle Hill ,Samantha Young,Ediciones B,220,2015-01-01,Contemporaneo,Romance,No leído,Serie
Con el viento,Samantha Young,V&R Editoras,424,2018-01-01,Contemporaneo,Romance,No leído,Serie
Héroe,Samantha Young,Ediciones B,392,2015-01-01,Contemporaneo,Romance,Leído,Serie
La canción de la corriente ,Sarah Tolcser,V&R Editoras,408,2017-01-01,Fantasia,Aventura,No leído,Serie
La escuela del bien y del mal ,Soman Chainani,Puck,480,2013-01-01,Fantasia,Aventura,No leído,Autoconclusivo
El último para siempre ,Soman Chainani,Urano,640,2015-01-01,Ficción,Aventura,No leído,Autoconclusivo
Firelight: chica de fuego ,Sophie Jordan,V&R Editoras,296,2010-01-01,Ciencia Ficción,Aventura,No leído,Serie
Hidden: Chica de Luz ,Sophie Jordan,V&R Editoras,244,2012-01-01,Ciencia Ficción,Aventura,No leído,Serie
Vanish: Chica de niebla ,Sophie Jordan,V&R Editoras,264,2014-01-01,Ciencia Ficción,Aventura,No leído,Serie
Caraval,Stephanie Garber,Editorial Planeta Argentina,432,2016-01-01,Fantasia,Aventura,No leído,Serie
Un regalo de mi gran amor,Stephanie Perkins,Alfaguara,432,2014-01-01,Ficción,Romance,No leído,Antología
Una chica brillante ,Susan Elizabeth Phillips,Vergara,464,1987-01-01,Ficción,Romance,No leído,Autoconclusivo
La canción del lobo ,T.J. Klune,V&R Editoras,701,2016-01-01,Fantasia,Paranormal,No leído,Serie
Reconstrúyeme ,Tahereh Mafi,Puck,347,2018-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
Los dos amores de mi vida,Taylor Jenkins Reid,EDICIONES URANO S.A.,320,2016-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Los siete maridos de Evelyn Hugo,Taylor Jenkins Reid,EDICIONES URANO S.A.,384,2017-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Sucedió un verano,Tessa Bailey,Titania,384,2021-01-01,Ficción,Romance,No leído,Autoconclusivo
City of Ghosts ,Victoria Schwab,Scholastic Press,285,2018-01-01,Fantasia,Paranormal,Leído,Serie
Los túneles de huesos ,Victoria Schwab,Puck,256,2019-01-01,Fantasia,Paranormal,Leído,Serie
¿Y si fuéramos nosotros?,Becky Albertalli,Puck,384,2018-01-01,Contemporaneo,Misterio,No leído,Serie
13 locuras que regalarte,Alice Kellen,Puck,432,2018-01-01,Contemporaneo,Romance,No leído,Serie
23 Otoños Antes De Ti,Alice Kellen,Puck,286,2017-01-01,Contemporaneo,Romance,No leído,Serie
33 razones para volver a verte,Alice Kellen,Puck,384,2016-01-01,Contemporaneo,Romance,No leído,Serie
A tu lado,Kasie West,Puck,284,2017-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Alas de Hierro,Rebecca Yarros,Planeta,896,2024-01-01,Fantasia,Aventura,No leído,Autoconclusivo
Alas de Ónix ,Rebecca Yarros,Planeta,896,2025-01-01,Fantasia,Aventura,No leído,Autoconclusivo
Alas de sangre,Rebecca Yarros,Planeta,544,2023-01-01,Fantasia,Aventura,No leído,Serie
Antes de diciembre,Marcus Joana,SUDAMERICA,496,2019-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
César Cascabel,Julio Verne,RBA Coleccionables,447,1890-01-01,Clásico,Aventura,No leído,Serie
Cinder y Ella,Kelly Oram,Oz Editorial,320,2014-01-01,Contemporaneo,Romance,Leído,Serie
Como el hielo,Jennifer L. Armentrout,Titania,256,2017-01-01,Contemporaneo,Romance,Leído,Serie
Despues de diciembre,Marcus Joana,SUDAMERICA,432,2020-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Despues del deshielo,Adrienne Young,EDICIONES URANO S.A.,350,2018-01-01,Ficción Histórica,Fantasia,No leído,Serie
El duque y yo,Julia Quinn,Titania,320,2000-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
El libro de la noche,Black Holly,EDICIONES URANO S.A.,416,2022-01-01,Fantasia,Misterio,No leído,Autoconclusivo
El Principito / The Little Prince,Antoine De Saint-exupery,Salamandra Infantil y Juvenil,72,1943-01-01,Clásico,Fantasia,Leído,Autoconclusivo
El regreso de Carrie Soto,Taylor Jenkins Reid,EDICIONES URANO S.A.,384,2022-01-01,Contemporaneo,Historico,No leído,Autoconclusivo
El Rey Cuervo,Maggie Stiefvater,Ediciones SM,469,2016-01-01,Fantasia,Misterio,No leído,Serie
El rey oscuro,C.S. Pacat,EDICIONES URANO S.A.,448,2021-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
El trono del pricionero,Black Holly,EDICIONES URANO S.A.,384,2024-01-01,Fantasia,Misterio,No leído,Autoconclusivo
El Vizconde Que Me Amo,Julia Quinn,Laberinto,352,2000-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
Everless: La Hechicera y El Alquimista,Sara Holland,Puck,450,2018-01-01,Fantasia,Misterio,Leído,Serie
Evermore: El corazón de la serpiente,Sara Holland,Puck,352,2018-01-01,Fantasia,Misterio,No leído,Serie
Felices para siempre,Kelly Oram,Oz Editorial,349,2017-01-01,Contemporaneo,Romance,Leído,Serie
Gallant,V. E. Schwab,Puck,288,2022-01-01,Fantasia,Misterio,Leído,Autoconclusivo
Heartstopper: Tomo 1,Alice Oseman,V&R Editoras,170,2018-01-01,Novela Gráfica,Romance,Leído,Serie
Heartstopper: Tomo 2,Alice Oseman,V&R Editoras,328,2019-01-01,Novela Gráfica,Romance,Leído,Serie
Heartstopper: Tomo 3,Alice Oseman,V&R Editoras,384,2020-01-01,Novela Gráfica,Romance,Leído,Serie
Heartstopper: Tomo 4,Alice Oseman,V&R Editoras,384,2021-01-01,Novela Gráfica,Romance,Leído,Serie
Héctor Servadac,Julio Verne,RBA Coleccionables,442,1877-01-01,Clásico,Aventura,No leído,Autoconclusivo
Just the Sexiest Man Alive,Julie James,Berkley,296,2008-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
La bruja de Near,V. E. Schwab,EDICIONES URANO S.A.,320,2011-01-01,Fantasia,Misterio,No leído,Serie
La canción de los hermanos,T.J. Klune,V&R Editoras,688,2020-01-01,Fantasia,Paranormal,No leído,Serie
La canción del cuervo,T.J. Klune,V&R Editoras,712,2018-01-01,Fantasia,Paranormal,No leído,Serie
La casa en el mar más azul,T.J. Klune,Crossbooks,480,2020-01-01,Realismo Mágico,Paranormal,No leído,Autoconclusivo
La coincidencia de Callie y Kayden,Jessica Sorensen,Oz Editorial,336,2012-01-01,Contemporaneo,Romance,No leído,Serie
La Espada Infinita,Brandon Sanderson,Ediciones B,208,2011-01-01,Fantasia,Aventura,Leído,Serie
La hipótesis del amor,Ali Hazelwood,Contraluz,488,2021-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
La maldición del mar,Ernshaw Shea,EDICIONES URANO S.A.,320,2018-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
La química del amor,Ali Hazelwood,Contraluz,480,2022-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
La teoría del amor,Ali Hazelwood,Contraluz,520,2023-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
La vida invisible de Addie LaRue,V. E. Schwab,Umbriel,552,2020-01-01,Realismo Mágico,Misterio,No leído,Autoconclusivo
Leah a destiempo,Becky Albertalli,Puck,320,2018-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Los náufragos del Jonathan,Julio Verne,RBA Coleccionables,445,1910-01-01,Clásico,Aventura,No leído,Serie
Love Irresistibly,Julie James,Berkley,304,2013-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Mansfield Park,Jane Austen,Debolsillo,477,1814-01-01,Clásico,Romance,No leído,Autoconclusivo
Mi ex y otras maldiciones,Erin Sterling,Puck,288,2021-01-01,Fantasia,Romance,No leído,Autoconclusivo
Nick y Charlie,Alice Oseman,V&R Editoras,160,2015-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Nunca Nunca 1,Colleen Hoover,Planeta,218,2015-01-01,Paranormal,Misterio,Leído,Serie
Nunca Nunca 2 ,Colleen Hoove,Planeta,152,2015-01-01,Paranormal,Misterio,Leído,Serie
Nunca Nunca 3,Colleen Hoover,Planeta,113,2016-01-01,Paranormal,Misterio,Leído,Serie
Ofiucus Asciende,Romina Russell,Del Nuevo Extremo,368,2017-01-01,Fantasia,,No leído,Serie
Orgullo y prejuicio,Jane Austen,Debolsillo,376,1813-01-01,Clásico,Romance,No leído,Autoconclusivo
Persuasión,Jane Austen,Debolsillo,241,1817-01-01,Clásico,Romance,No leído,Autoconclusivo
Piso para dos,O Leary Beth,SUDAMERICA,494,2019-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Sensatez y sentimientos,Jane Austen,Debolsillo,309,1811-01-01,Clásico,Romance,No leído,Autoconclusivo
"Sí, no, tal vez",Becky Albertalli,EDICIONES URANO S.A.,416,2020-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Something About You,Julie James,Berkley,336,2010-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Te doy mi corazón,Julia Quinn,Titania,352,2001-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
The Deal,Elle Kennedy,Piatkus Books,400,2015-01-01,Contemporaneo,Romance,No leído,Serie
The Goal,Elle Kennedy,Piatkus Books,384,2016-01-01,Contemporaneo,Romance,No leído,Serie
The Legacy,Elle Kennedy,Piatkus Books,313,2021-01-01,Contemporaneo,Romance,No leído,Serie
The Mistake,ElleKennedy,Piatkus Books,336,2015-01-01,Contemporaneo,Romance,No leído,Serie
The Score,ElleKennedy,Piatkus Books,384,2016-01-01,Contemporaneo,Romance,No leído,Serie
Un dueto oscuro,V. E. Schwab,Puck,480,2017-01-01,Fantasia,Misterio,No leído,Serie
Una canción salvaje,V. E. Schwab,Puck,410,2016-01-01,Fantasia,Misterio,No leído,Serie
Una corona de huesos dorados,Jennifer L. Armentrout,EDICIONES URANO S.A.,800,2021-01-01,Fantasia,Misterio,No leído,Autoconclusivo
Una obsesión perversa,V. E. Schwab,Puck,384,2013-01-01,Fantasia,Misterio,No leído,Serie
Una sonata de verano,Belen Kaplan,EDICIONES URANO S.A.,280,2018-01-01,Realismo Mágico,Romance,No leído,Autoconclusivo
